年	イヤー
安邦	アンパン
島民	島民
牙科	歯学
牙科	歯科
暴君	暴君
苛刻	厳しい
洗禮	洗礼
排隊	キュー
書目	参考文献
午後	午後
守護神	後見人
守護神	ガーディアン
跌倒	落下
跌倒	落ちる
肚子	お腹
肚子	おなか
遺棄	放棄された
遺棄	廃棄
重度	重度
威信	プレステージ
陪審團	陪審制
陪審團	陪審員
克制	拘束
反轉	反転
反轉	リバース
各地區	ディストリクト
強國	パワフル
賓士	メルセデス
賓士	ベンツ
納米	ナノ
矢吹	矢吹
甘草	リコリス
西裝	背広
西裝	スーツ
朝聖	巡礼
用餐	ダイニング
螺絲	ねじ
螺絲	ネジ
螺絲	スクリュー
遺孀	未亡人
抗體	抗体
溫室	温室
禮服	ガウン
禮服	タキシード
禮服	タックス
禮服	ドレス
奇才	ウィザード
膳食	食事
計量	測定
計量	計測
燒烤	グリル
燒烤	焼肉
燒烤	バーベキュー
衰老	老化
貝魯特	ベイルート
欺凌	いじめ
勃起	勃起
備份	バックアップ
勵志	インスピレーション
咽喉	咽喉
乾淨	きれい
乾淨	クリーン
狂人	マニアック
狂人	狂人
狂人	気違い
休息室	ラウンジ
銷毀	破壊
鯖	サバ
母體	マトリックス
母體	行列
假冒	偽造
假冒	フェイク
新石器時代	新石器時代
社論	社説
皮毛	毛皮
龐德	結合
龐德	ボンド
蠔	カキ
蠔	オイスター
蠔	牡蠣
生物化學	生化学
參贊	カウンセラー
貼紙	スタンプ
貼紙	ステッカー
舒曼	シューマン
搖擺	スイング
搖擺	スウィング
商事	商業
商事	商用
商事	コマーシャル
口琴	ハーモニカ
惡夢	ナイトメア
惡夢	悪夢
捕鯨	捕鯨
電視機	テレビ
主廚	シェフ
簡報	ブリーフィング
紙張	ペーパー
紙張	用紙
演進	進化
麵粉	小麦粉
麵粉	粉末
安曼	アンマン
加爾各答	カルカッタ
加爾各答	コルカタ
收割	収穫
失真	歪み
咖啡館	カフェ
堆疊	スタック
堆疊	積み重ね
儀表	ゲージ
屁	オナラ
殘忍	残酷
激增	サージ
遏制	封じ込め
音量	音量
音量	体積
音量	ボリューム
塔台	タワー
睡覺	睡眠
睡覺	スリープ
睡覺	眠る
半透明	半透明
鬼魂	幽霊
鬼魂	ゴースト
鬼魂	お化け
愛美	真奈美
愛美	愛美
草擬	立案
奢侈品	贅沢
養育	子育て
養育	育成
保姆	ナニー
螢光	蛍光
螢光	輝き
螢光	グロー
收音機	ラジオ
冰箱	冷蔵庫
閃爍	点滅
張力	緊張
張力	テンション
熔化	融解
熔化	溶ける
學分	クレジット
學分	謝辞
側翼	側面
渡船	フェリー
盎格魯	アングル
救贖	償還
救贖	救済
簽發	発行
簽發	発令
簽發	交付
板凳	ベンチ
井口	井口
紅花	サフラン
迦南	カナン
糖業	砂糖
耳機	ヘッドホン
宏觀	マクロ
划船	ボート
柔軟	柔らかい
柔軟	ソフト
柔軟	やわらかい
定價	価格
麝香	ジャコウ
分批	バッチ
墮胎	流産
電離	イオン化
多邊形	多角形
子午線	子午線
滑板	スケート
醫治	ヒーリング
擊劍	フェンシング
香檳	シャンパン
曖昧	曖昧
壘球	ソフトボール
發文	掲示
發文	投稿
課堂	クラス
課堂	教室
課堂	階級
布料	生地
布料	織物
布料	布地
鬥牛	闘牛
毛髮	毛髪
毛髮	ヘア
毛髮	ヘアー
毛髮	髪の毛
修繕	リフォーム
修繕	修理
化肥	肥料
拳王	チャンプ
野人	野人
野人	サベージ
手寫	筆跡
手寫	手書き
字面上	文字通り
磁碟	円盤
磁碟	ディスク
烘焙	焼く
烘焙	焼成
哮喘	ぜんそく
哮喘	喘息
綱要	スキーマ
貝殼	貝殻
貝殼	シェル
豺狼	ジャッカル
文摘	ダイジェスト
文摘	消化器
消極	ネガ
消極	マイナス
消極	ネガティブ
消極	パッシブ
衝刺	スプリント
離岸	オフショア
氣泡	バブル
氣泡	シャンパン
教條	信条
教條	教義
夏娃	イブ
夏娃	イヴ
禮拜堂	チャペル
保釋	保釈
樣品	サンプリング
樣品	サンプル
西宮	西宮市
墓穴	カタコンベ
停頓	休止
戒律	戒め
戒律	十戒
炮擊	砲撃
花花公子	プレイボーイ
啦啦隊	チアリーダー
不平衡	不均衡
不平衡	段違い
鍍	メッキ
慘劇	悲劇
租約	賃貸
租約	賃貸借
租約	貸す
平川	平川
遠方	遠い
橡皮	イレイザー
橡皮	消しゴム
橡皮	ゴム
橡皮	ラバー
強盜	バンディッツ
強盜	盗賊
關愛	思いやり
併發症	合併症
翻轉	反転
翻轉	フリップ
免職	却下
免職	解雇
免職	解任
免職	免職
免職	棄却
加倍	ダブル
加倍	二重
腰部	ウエスト
食譜	作り方
食譜	レシピ
用量	使い方
喪禮	葬式
喪禮	葬儀
焦慮	気がかり
焦慮	不安
洋蔥	オニオン
洋蔥	タマネギ
洋蔥	玉ねぎ
洋蔥	たまねぎ
光澤	光沢
跳過	スキップ
忙碌	忙しい
忙碌	ビジー
脅迫	強要
脅迫	強制
黑猩猩	チンパンジー
信貸	クレジット
信貸	謝辞
信貸	信用
繞行	遠回り
繞行	回り道
大發	ダイハツ
蹤跡	トレイル
文稿	スクリプト
編織	織物
編織	編み物
小冊子	パンフレット
小冊子	冊子
小冊子	小冊子
土井	土井
土井	ドイ
土井	土居
招待所	ゲストハウス
品格	文字
品格	キャラクター
品格	性格
喜悅	喜び
喜悅	ジョイ
慰問	お悔やみ
冰山	氷山
未婚夫	フィアンセ
烏賊	イカ
七夕	七夕
海螺	ほら貝
掩蓋	マスキング
認購	購読
認購	引受け
礦工	鉱夫
勝地	リゾート
煙囪	煙突
骰子	ダイス
骰子	サイコロ
骰子	クラップス
馬耳他	マルタ
功課	宿題
即興	即興曲
即興	即興
夢境	ドリーム
機艙	船室
機艙	キャビン
混戰	乱闘
蘇利南	スリナム
失眠	不眠症
坡道	ランプ
灌籃	スラム
眼神	アイズ
腫	腫れ
飛鏢	ダーツ
網域	ドメイン
尿素	尿素
信函	手紙
信函	レター
貴子	貴子
烹調	料理
烹調	クッキング
烹調	調理
絨毛	綿毛
廁	便器
廁	トイレ
布丁	プディング
布丁	プリン
電燈	ランプ
便士	ペニー
表弟	従姉妹
表弟	従兄弟
表弟	いとこ
算術	算術
撲滅	消す
剝削	搾取
獨一無二	ユニーク
獨一無二	独特
文具	文房具
文具	停滞
良知	良心
來訪	訪問
公羊	ラム
穀物	穀物
穀物	シリアル
包子	バンズ
緬因州	メイン
和服	和服
和服	着物
柔和	ソフト
柔和	メロー
柔和	パステル
柔和	柔らかい
柔和	メロウ
柔和	やわらかい
生計	生計
入籍	帰化
受挫	イライラ
簡明	簡潔
新郎	花婿
圖畫	図面
圖畫	描画
圖畫	ドローイング
深刻印象	感心
深刻印象	感動
過失	怠慢
過失	過失
築巢	ネスト
維納斯	ヴィーナス
維納斯	ウェヌス
維納斯	金星
敘事	ストーリー
敘事	物語
撲克	ポーカー
感人	感動
紅樹林	マングローブ
保鏢	ボディガード
保鏢	ボディーガード
焚化	焼却炉
房舍	構内
房舍	敷地
中提琴	ビオラ
中提琴	ヴィオラ
偏遠	リモート
朝拜	巡礼
滴水	点滴
二極體	ダイオード
銳利	シャープ
銳利	鋭い
自覺	意識
擔保	保障
擔保	保証
擔保	担保
擔保	保証書
鳳梨	パイナップル
慘案	悲劇
火葬	火葬
猛禽	ラプター
鍛鍊	行使
鍛鍊	エクササイズ
鍛鍊	運動
血小板	血小板
得救	救済
勞動力	分娩
勞動力	労働
諒解	理解
韌帶	靭帯
鄉下	田舎
籃網	ネット
祖父母	祖父母
香菜	コリアンダー
香菜	パセリ
少數人	少数
裂縫	クラッキング
裂縫	クラック
裂縫	ひび割れ
探戈	タンゴ
探戈	丹後
深淵	アビス
週二	火曜日
聲納	ソナー
標識	マーキング
標識	ロゴ
爭吵	けんか
兵營	バラック
柑橘	シトラス
線圈	コイル
選單	メニュー
誠意	誠実
誠意	誠意
自慰	オナニー
螢火蟲	ホタル
應力	ストレス
傷寒	チフス
甲蟲	ビートル
無家可歸	ホームレス
漂移	ドリフト
墨水	インク
雪崩	雪崩
聽覺	聴力
聽覺	聴覚
聽覺	聴聞
聽覺	審問
拱門	アーチ
美人魚	マーメイド
美人魚	人魚
幻覺	幻想
幻覺	錯覚
幻覺	イリュージョン
幻覺	幻覚
悄悄話	囁き
軟骨	軟骨
收容所	ホスピス
收容所	避難所
收容所	シェルター
嘔吐	嘔吐
伽瑪	ガンマ
蘇打	ソーダ
外遇	浮気
外遇	情事
借貸	借用
借貸	ローン
借貸	融資
加班	残業
油炸	フライ
志願者	ボランティア
相撲	相撲
箭頭	矢印
箭頭	アロウズ
箭頭	アロー
緒方	尾形
鼻孔	鼻孔
發炎	炎症
伏擊	待ち伏せ
杏子	恭子
健美	ボディビル
咪咪	ミミ
腳步	足音
微風	そよ風
陽性	陽性
陽性	ポジティブ
腐蝕	腐食
腐蝕	エッチング
自訂	カスタム
自訂	風習
金魚	金魚
金魚	キンギョ
孟加拉國	バングラデシュ
大馬士革	ダマスカス
達摩	ダーマ
嗜好	趣味
簽字	サイン
簽字	署名
簽字	記号
黑手黨	マフィア
週三	水曜
週三	水曜日
假釋	仮釈放
主幹	バックボーン
相容性	互換性
誠信	正直
誠信	整合性
純真	無垢
倍增	乗算
競標	入札
併吞	併合
小便	小便
敵意	敵意
森川	森川
國庫	国庫
休眠	冬眠
休眠	休眠
路加	ルカ
觀察員	オブザーバ
觀察員	オブザーバー
海鷗	かもめ
電極	電極
蟑螂	ゴキブリ
判例	法学
嘲諷	パロディ
嘲諷	皮肉
家譜	系図
家譜	系譜
暗淡	薄暗い
迦納	ガーナ
追隨者	フォロワー
血栓	血栓症
門診	クリニック
門診	診療所
下巴	あご
銷售額	セールス
銷售額	販売
銷售額	売り上げ
銷售額	売上
生動	鮮やか
排放量	排出
大元帥	大元帥
花崗岩	花崗岩
錨	アンカー
震央	震央
置換	置換
肉食	食肉
復古	ビンテージ
節約	預金
節約	節約
節約	貯金
節約	貯蓄
剖析	プロファイル
岩漿	マグマ
岩漿	溶岩
射精	射精
勘查	測量
木頭	木製
木頭	ウッド
木頭	木材
飼料	フィード
閣樓	ロフト
閣樓	屋根裏
閣樓	ペントハウス
小節	バー
稜鏡	プリズム
志向	野心
志向	野望
結社	協会
結社	社団
結社	アソシエーション
含糊	曖昧
有形	有形
莊家	ディーラー
香煙	タバコ
防彈	防弾
蠕蟲	ミミズ
峰會	頂上
峰會	サミット
計費	請求
聽證會	聴力
聽證會	聴覚
聽證會	聴聞
聽證會	審問
審問	取調べ
微處理器	マイクロプロセッサ
脾	脾臓
淹死	溺死
贏了	勝つ
贏了	勝ち
贏了	勝利
紅寶石	ルビー
紅寶石	ルビ
安道爾	アンドラ
假髮	ウィッグ
假髮	カツラ
假髮	かつら
栗子	胡桃
螞蟻	アリ
扣減	値引き
閒置	アイドル
裙子	スカート
裙子	ドレス
回聲	反響
回聲	エコー
烏托邦	ユートピア
復合	複合
復合	化合物
復合	コンポジット
杏仁	アーモンド
精確度	正確性
精確度	精度
知己	腹心
飽	フル
飽	いっぱい
尼姑	尼僧
氘	重水素
自閉症	自閉症
出價	入札
小豬	ピギー
空想	ユートピア
特殊性	名物
過熱	オーバーヒート
估價	評定
估價	査定
斑馬	シマウマ
要件	元素
要件	要素
要件	エレメント
肛門	肛門
肛門	アナル
設想	シナリオ
預報	予報
預報	予測
金庫	国庫
河馬	カバ
礫石	砂利
內褲	パンティー
內褲	下着
親吻	キス
親吻	接吻
風扇	ファン
二醇	グリコール
斷言	表明
斷言	主張
斷言	言明
烤肉	焼肉
烤肉	バーベキュー
滑動	スワイプ
滑動	滑り台
滑動	スライド
求生	サバイバル
商定	合意
商定	同意
艦橋	ブリッジ
溫馨	居心地
樹脂	樹脂
白痴	馬鹿
白痴	バカ
咕	グー
露台	バルコニー
露台	テラス
露台	パティオ
露台	棚田
勝者	勝者
勝者	ウィナー
姑姑	叔母
姑姑	おばさん
姑姑	おば
目擊者	証人
列印	印刷
暢銷書	ベストセラー
踏板	ペダル
秀美	スミ
體格	体格
球拍	ラケット
南希	ナンシー
煤油	灯油
壯觀	圧巻
壯觀	壮観
火車頭	機関車
侵佔	簒奪
羊肉	マトン
羊肉	ラム
羊肉	子羊
遊俠	レインジャー
紀念品	土産物
紀念品	土産
磁力	磁性
餓死	飢え
小徑	トレイル
小徑	パス
殤	エレジー
差分	差動
差分	微分
蒸餾	蒸留
惰性	慣性
平穩	スムーズ
平穩	スムース
平穩	滑らか
黛安娜	ダイアン
復發	リラプス
圓圈	サークル
屠宰	屠殺
圈套	トラップ
氫氣	水素
空域	空域
交保	保釈
碲	テルル
噗	パッ
停滯	ストール
停滯	停滞
色調	色相
色調	トーン
色調	フエ
陰性	ネガ
陰性	マイナス
陰性	ネガティブ
手勢	仕草
手勢	ジェスチャー
手勢	身振り
大笑	笑い
通行證	パス
拓也	卓也
屑	ふけ
甲狀腺	甲状腺
閥	バルブ
牙醫	歯医者
牙醫	歯科医
牙醫	歯科
凸顯	ハイライト
指紋	指紋
邀約	勧誘
貓咪	ネコ
貓咪	ねこ
色情片	ポルノ
大蒜	ガーリック
大蒜	にんにく
大蒜	ニンニク
綻放	開花
綻放	ブルーム
綠洲	オアシス
貝爾法斯特	ベルファスト
過濾器	フィルター
過濾器	フィルタ
吠	吠える
吠	バーク
吠	樹皮
石棉	石綿
表白	自白
表白	懺悔
經銷商	ディーラー
作證	証言
摺紙	折り紙
遲到	遅い
純潔	純粋
純潔	純度
純潔	ピュア
加權	重み
木質	木造
木質	木製
憑證	証明書
憑證	証書
雙簧管	オーボエ
樹皮	バーク
樹皮	樹皮
親情	親族
親情	愛情
親情	愛着
觀世音菩薩	菩薩
新奇	ノベルティ
猶豫	ためらう
知覺	知覚
知覺	意識
銖	バーツ
血色	スカーレット
耀眼	まぶしい
前奏	前奏曲
頂樓	ペントハウス
蒼蠅	ハエ
蒼蠅	飛ぶ
蒼蠅	フライ
咖啡因	カフェイン
礦石	鉱石
輸了	ロスト
常春藤	アイビー
常春藤	ツタ
小雨	霧雨
礦產	鉱物
錳	マンガン
精工	聖子
親親	キス
親親	接吻
衝浪	サーフィン
房東	地主
房東	家主
女裝	クチュール
前奏曲	前奏曲
離別	別れ
韻律	リズム
肉桂	シナモン
光環	オーラ
好奇心	好奇心
三位一體	三位一体
腹瀉	下痢
語錄	引用
寡婦	死別
寡婦	未亡人
放牧	放牧
退伍軍人	退役軍人
梅毒	梅毒
準確度	正確性
準確度	精度
波形	波形
錯字	誤植
孤單	孤独
孤單	寂しい
藥房	薬局
藥房	薬学
紙牌	カード
野性	野生
野性	ワイルド
帶頭	リード
酋長國	エミレーツ
撻	タルト
山根	山根
膠囊	カプセル
能見度	視界
折斷	スナップ
耐用	耐久性
虛弱	弱い
暴亂	暴動
痊癒	治る
痊癒	治す
痊癒	ヒール
根岸	根岸
名片	カード
下雪	スノー
偷竊	窃盗
偷竊	盗難
電光	ライトニング
滾動	スクロール
滾動	ローリング
滾動	巻物
花瓶	花瓶
首飾	装飾
首飾	ジュエリー
首飾	宝石
成衣	衣類
種族隔離	アパルトヘイト
大寫	大文字
不透明	不透明
願景	ヴィジョン
願景	ビジョン
羔羊	ラム
羔羊	子羊
天亮	明け方
天亮	夜明け
天亮	ドーン
切片	スライス
項鍊	ネックレス
肝炎	肝炎
藍寶石	サファイア
廢料	スクラップ
尿道	尿道
彌勒	弥勒菩薩
準確性	正確性
準確性	精度
等值	同値
豐收	収穫
飛艇	飛行船
秤	ウロコ
秤	スケール
燒死	やけど
燒死	火傷
燒死	焼き
香氣	香り
香氣	アロマ
石斑魚	ハタ
樹幹	トランク
燭光	キャンドル
燭光	蝋燭
燭光	ろうそく
副詞	副詞
粉色	ナデシコ
粉色	ピンク
菲菲	フィフィ
慢慢地	ゆっくりと
慢慢地	ゆっくり
楔形	ウェッジ
白菜	キャベツ
名望	名声
靜電	スタティック
沮喪	うつ病
聽力	聴力
聽力	聴覚
聽力	聴聞
聽力	審問
寄生蟲	寄生
寄生蟲	寄生虫
碳水化合物	炭水化物
掘金	ナゲッツ
原宿	原宿
銫	セシウム
播音員	アナウンサー
仲夏	真夏
嗶	ビープ
彈出	ポップアップ
出貨	配送
帥哥	イケメン
帥哥	ハンサム
帆布	キャンバス
鬍鬚	ヒゲ
鬍鬚	ひげ
鬍鬚	口ひげ
鬍鬚	口髭
失調	無秩序
轉送	迂回
轉送	転用
轉送	流用
木工	大工
木工	木工
丟棄	破棄
調味	味付け
調味	調味料
收成	収穫
庫存	備蓄
庫存	在庫
庫存	株式
庫存	棚卸
庫存	ストック
烏龜	カメ
零食	スナック
黑色素	メラニン
擠壓	スクイーズ
內幕	インサイダー
出缺	モーテル
出缺	欠員
體溫	気温
體溫	温度
浴場	風呂
鈹	ベリリウム
經度	経度
希爾頓	ヒルトン
火鍋	フォンデュ
期望值	期待
舞動	ダンス
舞動	ダンシング
舞動	踊り
舞動	踊る
投標	柔らかい
投標	入札
投標	テンダー
鴿子	ハト
鴿子	ピジョン
水潭	水たまり
溶解度	溶解度
拉伸	ストレッチ
泳裝	水着
巫術	ウィッチクラフト
圖騰	トーテム
鮭魚	サケ
鮭魚	サーモン
傳單	チラシ
驢	ロバ
苦力	苦力
鄧肯	ダンカン
禮品	ギフト
禮品	贈り物
團圓	同窓会
團圓	再会
噸位	トン数
團聚	同窓会
團聚	再会
嘿	ヘイ
乙炔	アセチレン
減肥	ダイエット
減肥	国会
減肥	献立
麵條	ヌードル
麵條	麺類
糞便	厩肥
冬眠	冬眠
格式化	書式
格式化	整形
格式化	フォーマット
禿鷹	ハゲワシ
流產	流産
明示	急行
明示	明示
明示	エクスプレス
鏡片	レンズ
布爾什維克	ボリシェヴィキ
野豬	イノシシ
芭比	バービー
氡	ラドン
各縣	カウンティ
戲劇性	ドラマチック
鯷	アンチョビ
精准	精度
打包	荷造り
打包	パック
打包	梱包
電量	バッテリー
電量	電池
電量	バッテリ
配額	quota
拖車	トレーラー
拖車	予告編
大壩	ダム
畫師	画家
冷藏	冷却
冷藏	冷蔵
廢棄物	瓦礫
廢棄物	破片
表哥	従姉妹
表哥	従兄弟
表哥	いとこ
過剩	超過
停機坪	エプロン
鈷	コバルト
馬蹄	蹄鉄
打獵	狩り
打獵	ハンティング
打獵	狩猟
七七	セブン
喉嚨	咽喉
管子	パイプ
管子	チューブ
籌碼	チップ
籌碼	チップス
下坡	下り坂
美洲豹	ジャガー
雪茄	シガー
收斂	収束
制冷	冷却
制冷	冷蔵
柚木	チーク
華氏	華氏
號角	ホルン
號角	ホーン
號角	クラクション
及早	早い
及早	アーリー
解職	却下
解職	解雇
解職	解任
解職	免職
解職	棄却
標點符號	句読点
瘧疾	マラリア
重印	翻刻
昏倒	失神
昏倒	気絶
淤泥	汚泥
烈酒	リキュール
拷貝	部数
拷貝	コピー
積累	貯める
積累	集積
日曆	カレンダー
跳棋	チェッカー
辱罵	不適切
探查	探査
啞	ミュート
公使館	公使館
平局	引き分け
平局	ネクタイ
公民權	市民
風化	風化
畫報	画像
加茂	加茂
加茂	賀茂
洄游	移行
暗影	シャドー
暗影	シャドウ
泥炭	泥炭
真誠	誠実
真誠	誠意
背心	ベスト
處方	処方箋
信封	封筒
鼓掌	拍手
課本	教科書
編隊	フォーメーション
繼承權	継承
繼承權	相続
箴言	標語
貶值	償却
白喉	ジフテリア
衣著	服装
倒立	逆立ち
水印	透かし
天際	スカイライン
打撈	サルベージ
打撈	残存
需求量	需要
需求量	催告
萬花筒	万華鏡
並存	共存
額頭	おでこ
清涼	苦力
牙膏	歯磨き
牙膏	歯磨き粉
危險性	危険
醃	酢漬け
問卷	アンケート
紋理	テクスチャ
紋理	テクスチャー
雜交	ハイブリッド
錒	アクチニウム
鬣狗	ハイエナ
獵豹	ヒョウ
獵豹	チーター
黏液	スライム
棧	スタック
造林	造林
穿孔	ピアス
無償	未払い
苦難	苦しみ
鉛筆	ペンシル
鉛筆	鉛筆
暴躁	不機嫌
句法	構文
監護	後見人
監護	後見
行賄	賄賂
行賄	贈収賄
資產階級	ブルジョア
靈性	スピリチュアリティ
靈性	スピリチュアル
提煉	精製
比薩	ピザ
霍亂	コレラ
蜜月	新婚旅行
蜜月	ハネムーン
不負責任	無責任
核發	発行
核發	発令
核發	交付
月經	月経
幀	フレーム
管轄權	管轄
最大限度	最大
蘿蔔	にんじん
蘿蔔	カブ
蘿蔔	ニンジン
蘿蔔	大根
蘿蔔	人参
幻想曲	ファンタジア
麥子	コムギ
麥子	小麦
盛開	ブルーム
綾子	綾子
阿公	ゴング
績效	パフォーマンス
績效	興行
績效	性能
繩索	ロープ
平庸	凡庸
喝醉	酔っぱらい
溜冰	スケート
主食	ステイプルズ
系數	係数
忍耐	忍耐
忍耐	我慢
忍耐	根気
樓下	階下
衛兵	衛兵
衛兵	ガード
姪女	めい
後台	楽屋
後台	舞台裏
擺動	スイング
擺動	スウィング
自治領	自治領
羅盤	コンパス
泡菜	漬物
泡菜	ピクルス
泡菜	キムチ
泡菜	ザワークラウト
風箏	カイト
交響樂	交響曲
交響樂	シンフォニー
木炭	木炭
阿爾及爾	アルジェ
祭壇	祭壇
生態學	生態学
生態學	エコロジー
分水嶺	割る
分水嶺	除算
分水嶺	分ける
分水嶺	流域
臂章	腕章
天安門	天安門
證詞	証言
藥劑	薬局
藥劑	薬学
熟人	知人
熟人	知り合い
鐳射	レーザー
頭巾	ターバン
猖獗	横行
徵用	催告
徵用	収用
家教	チューター
家教	家庭教師
腳趾	爪先
腳趾	つま先
新穎	ノベルティ
冰凍	フローズン
跳蚤	ノミ
濕潤	湿度
濕潤	しっとり
客艙	船室
客艙	キャビン
貘	バク
領航員	ナビゲータ
停職	休止
停職	サスペンション
烙印	焼印
烙印	ブランディング
僵持	ステイルメイト
潛水艇	潜水艦
帳篷	テント
曬	タン
監護人	後見人
監護人	ガーディアン
賣淫	売春
軟弱	衰弱
軟弱	弱い
衰減	崩壊
衰減	減衰
誘發	誘発
賞金	報酬
橡木	オーク
離異	離婚
遞減	降順
鞭打	ホイップ
飛利浦	フィリップス
紡	紡績
脊柱	脊柱
脊柱	背骨
脊柱	脊椎
亞丁	アデン
麻子	あさこ
麻子	ポッキー
血脈	血統
務農	農業
心境	気分
心境	ムード
有福	祝福
船體	ハル
船體	船体
唾液	唾液
樹葉	葉っぱ
獎賞	報酬
稻草人	かかし
袖珍	ポケット
奢華	贅沢
解碼器	デコーダ
花店	花屋
浮力	浮力
比比	ビビ
脾氣	気性
貪婪	欲張り
猜猜	推測
樟腦	樟脳
先令	シリング
阿叔	おじ
阿叔	伯父
阿叔	アンクル
阿叔	おじさん
阿叔	叔父
財閥	財閥
臼齒	臼歯
燒傷	火傷
燒傷	焼き
燒傷	バーンズ
燒傷	やけど
醜陋	みにくい
醜陋	醜い
果糖	フルクトース
鎢	タングステン
鉗	ペンチ
邯鄲	邯鄲
相簿	アルバム
農耕	農業
旅店	ホステル
咀嚼	かむ
咀嚼	チューインガム
漆器	漆器
牧羊人	シェパード
西奈	シナイ半島
懺悔	告白
懺悔	自白
懺悔	懺悔
濕度	湿度
濕度	水分
偵訊	取調べ
面罩	仮面
面罩	マスク
走道	通路
迷戀	執着
賭城	ベガス
宏都拉斯	ホンジュラス
口香糖	歯茎
口香糖	ガム
准予	付与
問候	あいさつ
問候	挨拶
油輪	タンカー
繩子	ロープ
山崩	地すべり
探視	面会
牢房	セル
孿生	双子
孿生	双生児
孿生	ツイン
自尊	プライド
自尊	傲慢
自尊	誇り
字彙	語彙
棘手	トリッキー
強暴	強姦
強暴	レイプ
適度	そこそこ
適度	中道
飾品	アクセサリー
飾品	アクセサリ
飾品	装飾
繼父	継父
平權	肯定
高跟鞋	かかと
觸角	触手
觸角	触角
間隙	ギャップ
克什米爾	カシミール
潔淨	清掃
喀布爾	カブール
各部門	学科
警棍	バトン
盛宴	ごちそう
長輩	長老
異國	エキゾチック
每季	四半期
快門	シャッター
鍺	ゲルマニウム
觸手	触手
宜家	イケア
銥	イリジウム
投機	投機
梯子	梯子
梯子	はしご
梯子	ハシゴ
梯子	ラダー
填滿	埋める
西洋棋	チェス
持續性	連続
觸及	さわる
觸及	リーチ
領空	空域
審定	検証
升值	鑑賞
內線	インサイダー
音調	トーン
拳頭	こぶし
外衣	コート
香腸	ソーセージ
學人	学者
渴	渇き
堤岸	堤防
紡織品	織物
紡織品	繊維
紡織品	テキスタイル
催化劑	触媒
燈泡	球根
單色	モノクローム
單色	モノクロ
小巷	裏通り
小巷	路地
促銷	プロモーション
促銷	宣伝
促銷	プロモ
無常	無常
口罩	仮面
口罩	マスク
奴婢	奴婢
囚徒	囚人
囚徒	捕虜
俗語	俗語
俗語	スラング
軍裝	制服
軍裝	ユニフォーム
餓	飢え
餓	空腹
銣	ルビジウム
加彭	ガボン
釀造	醸造
原件	オリジナル
回天	回天
萬象	ヴィエンチャン
載體	ベクター
載體	ベクトル
載體	キャリア
噴霧	スプレー
專利權	特許
山雀	オッパイ
山雀	おっぱい
山雀	ガラ
力氣	強度
力氣	体力
變壓器	トランスフォーマー
睡衣	パジャマ
新生兒	新生児
榊	坂城
白酒	リキュール
笛子	フルート
增量	増分
增量	インクリメント
鬧劇	茶番
嚮往	あこがれ
蓋亞那	ガイアナ
史無前例	前例
甜菜	ビーツ
蟋蟀	コオロギ
蟋蟀	クリケット
表姐	従姉妹
表姐	従兄弟
表姐	いとこ
撲克牌	ポーカー
暴風雪	吹雪
排練	リハーサル
賴比瑞亞	リベリア
蠟燭	キャンドル
蠟燭	蝋燭
蠟燭	ろうそく
氣功	気功
約談	インタビュー
約談	面接
燭	キャンドル
燭	蝋燭
燭	ろうそく
蛻變	変態
蠢	バカ
常綠	エバーグリーン
茄子	ナス
茄子	茄子
肌膚	スキン
肌膚	皮膚
銀杏	イチョウ
化學品	化学
越獄	エスケープ
越獄	脱出
流沙	流砂
黏膜	粘膜
磷脂	脂質
贖金	身代金
硫化物	硫化物
協約	コンパクト
充公	没収
農藥	農薬
眼罩	目隠し
種姓	カースト
摸索	痴漢
尼龍	ナイロン
二重唱	デュエット
月桂	ローレル
模擬器	シミュレータ
模擬器	シミュレーター
玉蘭	マグノリア
顏料	顔料
顏料	塗料
顏料	ペンキ
顏料	ペイント
顏料	絵の具
彈射器	カタパルト
昏暗	薄暗い
漸進	プログレッシブ
武士道	武士道
牛排	ステーキ
履歷	再開
稻草	ストロー
稻草	わら
簡歷	再開
田納西	テネシー
賽跑	レース
賽跑	競走
賽跑	人種
類固醇	ステロイド
退還	払い戻し
退還	返金
退還	払戻し
退還	還付
褲子	パンツ
褲子	ズボン
槓桿	レバー
想像力	イマジネーション
想像力	想像力
想像力	想像
布偶	マペット
受苦	苦しむ
受苦	苦しみ
鞍馬	鞍馬
拍子	テンポ
詩選	アンソロジー
電影劇本	脚本
虛偽	偽善
紋身	入れ墨
紋身	タトゥー
紋身	刺青
勤奮	勤勉
錢包	ウォレット
錢包	財布
油墨	インク
無產階級	プロレタリア
無產階級	プロレタリアート
獨木舟	カヌー
獨木舟	カヤック
橋頭堡	橋頭堡
相親	縁結び
野兔	うさぎ
野兔	ウサギ
高血壓	高血圧
充氣	弾む
充氣	膨らむ
報價	引用
微觀	マイクロ
痣	ほくろ
痣	モグラ
豁免權	免疫
饅頭	バンズ
韭菜	ネギ
稀釋	薄める
下跪	ひざまずく
冥想	瞑想
心碎	ハートブレイク
雞肉	ニワトリ
雞肉	チキン
雞肉	鶏肉
絕緣	絶縁
左近	左近
水銀	水星
水銀	マーキュリー
水銀	水銀
暴民	暴徒
暴民	モブ
艙門	孵化
艙門	ハッチ
扶養	依存
壁虎	ヤモリ
坦率	率直
均等	パリティ
均等	パリティビット
供暖	暖房
牙刷	歯ブラシ
