மற்றும்	и
தொடரியல்	последовательное
தொடரியல்	последовательные
தொடரியல்	последовательный
தொடரியல்	последовательных
தொடரியல்	синтаксис
மல்டிமீடியா	мультимедийных
சிசு	плода
விளையாடுபவர்கள்	игроки
விளையாடுபவர்கள்	игрокам
விளையாடுபவர்கள்	игроков
ஜுவான்	хуана
ஜுவான்	хуан
கரண்டி	ложки
கரண்டி	ложку
கரண்டி	ложка
வேட்	уэйд
சுத்தி	молот
சுத்தி	молоток
விசுவாசம்	лояльность
விசுவாசம்	преданность
விசுவாசம்	верность
கொண்டாட்டத்தில்	вечеринок
கொண்டாட்டத்தில்	вечеринки
அலங்காரங்கள்	декорации
அலங்காரங்கள்	фильтры
அலங்காரங்கள்	украшения
பெரிங்	беринг
அமைக்கிறது	наборы
அமைக்கிறது	комплекты
நடத்துகிறார்	хостинг
நூலகர்	библиотекарь
பெண்மை	женская
பெண்மை	женский
பெண்மை	женское
கையெழுத்திட்ட	подписаны
கையெழுத்திட்ட	подписана
கையெழுத்திட்ட	подпись
கையெழுத்திட்ட	подписано
கையெழுத்திட்ட	подписан
ஆக்கபூர்வமான	конструктивные
ஆக்கபூர்வமான	конструктивный
ஆக்கபூர்வமான	конструктивное
ஆக்கபூர்வமான	конструктивно
லோடி	лоди
மனச்சோர்வு	депрессия
மனச்சோர்வு	подавлен
மார்கஸ்	маркус
மார்கஸ்	маркуса
சபாஷ்	браво
கைப்பந்து	волейбол
முண்டா	мунда
திட்டப்பணி	проект
திட்டப்பணி	проекта
டயல்	набрать
மோனா	мона
வினைல்	винил
ஹோகன்	хоган
வாங்கவும்	купить
வாங்கவும்	покупать
பார்க்கிறது	видит
கைப்பிடி	справиться
இடஒதுக்கீடு	оговорка
இடஒதுக்கீடு	оговорки
இடஒதுக்கீடு	оговорок
இடஒதுக்கீடு	бронирование
ஜியா	зия
ஜியா	джиа
கசப்பான	горький
கசப்பான	горько
மரணமும்	умирают
மரணமும்	умираю
மரணமும்	умирает
மைல்கல்	вехой
கருத்துக்கணிப்பு	обследования
கருத்துக்கணிப்பு	опрос
கருத்துக்கணிப்பு	обследование
கானான்	ханаан
ஊடு	прозрачность
ஊடு	зигзаг
ஊடு	прозрачной
கொடுங்கள்	дайте
கொடுங்கள்	отдать
கொடுங்கள்	дать
கொடுங்கள்	дай
தடிமனான	толстые
தடிமனான	толщиной
தடிமனான	толстый
தடிமனான	толстая
லென்ஸ்	линзы
லென்ஸ்	объектив
எக்ஸ்போ	экспо
வாங்குபவர்	покупателем
வாங்குபவர்	покупателя
வாங்குபவர்	покупатель
கவுரி	гаури
ஹூட்	гуд
ஹூட்	капот
ஹூட்	худ
சாகசங்கள்	приключения
கரடு	жесть
சுவடு	след
சுவடு	отследить
அங்காரா	анкаре
இன்னிங்ஸ்	иннингов
லட்சக்கணக்கான	миллионы
லட்சக்கணக்கான	миллионов
ஒலிபெருக்கி	оратор
ஒலிபெருக்கி	выступающий
ஒலிபெருக்கி	громкоговоритель
ஒலிபெருக்கி	спикер
மார்ஷ்	марш
பெட்டகம்	контейнер
செனட்டர்	сенатора
செனட்டர்	сенатор
சூடாக	горячая
சூடாக	горячо
சூடாக	жарко
சூடாக	горячие
வெளியீட்டுக்	издательство
வெளியீட்டுக்	публикация
கண்களும்	глазки
கண்களும்	глаз
கண்களும்	глаза
இவா	евы
இவா	ева
இவா	эва
செயல்படுத்தப்பட்டது	включена
செயல்படுத்தப்பட்டது	включен
செயல்படுத்தப்பட்டது	включено
பெருநகரம்	боро
ஓரினச்சேர்க்கை	гей
ஓரினச்சேர்க்கை	гомосексуализм
ஓரினச்சேர்க்கை	геи
மடிக்கணினி	ноутбук
சீட்டுகள்	ярлыки
புரோ	профи
ஹமீது	хамид
பரிமாறும்	служение
குழப்ப	запутать
கொசோவோ	косово
மில்ஸ்	миллс
வெளியிடப்படாத	неопубликованные
விற்கவும்	продать
விற்கவும்	продажа
விற்கவும்	продавать
பத்தாண்டுகளாக	десятилетиями
பத்தாண்டுகளாக	десятилетия
பத்தாண்டுகளாக	десятилетий
அவா	эва
விநாடிகள்	секунды
விநாடிகள்	секунд
இனவெறி	расистские
இனவெறி	расистских
இனவெறி	расизм
வருந்துகிறேன்	прости
வருந்துகிறேன்	извините
மீன்களில்	рыб
மீன்களில்	рыбы
தாய்நாடு	родина
தாய்நாடு	родину
அபாயங்கள்	риски
குவிப்பு	фокус
குவிப்பு	сфокусироваться
குவிப்பு	сконцентрироваться
குவிப்பு	внимание
நண்பரே	друга
நண்பரே	друг
நண்பரே	подруга
மந்திரங்களை	мантры
டிரக்	грузовик
அழுது	плачет
அழுது	плач
அழுது	плачу
அழுது	плакать
கூந்தலில்	волосы
கூந்தலில்	волос
ருசி	вкусно
நாளம்	сосудистых
குறுக்கீடுகள்	прерывает
குறுக்கீடுகள்	прерывания
ஜீன்ஸ்	джинсы
விடைகள்	результаты
விடைகள்	результат
சாகி	саки
ஏமி	эми
டால்பின்	дельфин
தேசியவாதிகள்	националистов
கமில்	камиль
அசிட்டோன்	ацетон
நோர்டிக்	северных
சௌ	чоу
ரஹீம்	рахим
பசியின்மை	аппетита
பசியின்மை	аппетит
போர்ட்டர்	портер
மூக்கில்	носом
மூக்கில்	нос
காப்பர்	коп
காப்பர்	меди
காப்பர்	медь
நீந்தி	плавать
வலிகள்	боль
வலிகள்	боли
வலிகள்	болью
கேக்	пирог
கேக்	торт
நிற்கிறார்	стоя
நிற்கிறார்	стою
ஹரே	заяц
யூதேயா	иудеи
சுயவிவரம்	профиль
ஊகங்கள்	догадки
ஸ்விஸ்	швейцарии
ஸ்விஸ்	швейцарский
ஸ்விஸ்	швейцарская
பாங்	бон
பாங்	бонг
போர்ச்சுகல்	португалия
போர்ச்சுகல்	португалии
மார்லன்	марлон
ரமலான்	рамадан
திருடர்கள்	воров
திருடர்கள்	воры
கிரெய்க்	крейг
சிறந்தவை	лучшие
சிறந்தவை	лучшее
சிறந்தவை	лучшая
சிறந்தவை	лучший
துடிக்கும்	избиение
லிஞ்ச்	линч
உடையை	наряд
டிரம்மர்	барабанщик
சாகசம்	приключения
சாகசம்	приключение
மண்டையோடு	черепа
அகற்றப்பட்டது	удаляется
அகற்றப்பட்டது	удалена
அகற்றப்பட்டது	удален
அகற்றப்பட்டது	удалено
அகற்றப்பட்டது	удалены
அச்சுகள்	осей
அச்சுகள்	координаты
அச்சுகள்	оси
பழச்சாறு	сок
பழச்சாறு	сока
சரம்	фильтрации
சரம்	строка
கார்சன்	карсон
பகடி	пародия
அலங்காரத்	декоративных
சின்ஹா	синха
சீப்பு	гребень
முடக்கு	немой
முடக்கு	офф
முடக்கு	отключить
பொருத்துதல்	подбор
பொருத்துதல்	сопоставления
பொருத்துதல்	сопоставление
சலங்கை	сагара
ஸ்பைக்	спайк
எசேக்கியேல்	иезекииль
குதிக்கும்	прыгать
குதிக்கும்	прыжки
குதிக்கும்	прыжок
உதடுகள்	губы
உதடுகள்	губки
உதடுகள்	губ
குளோரியா	глория
இயல்புநிலை	умолчанию
வீச	излишеств
ரீஸ்	риз
ஆய்வறிக்கை	диссертации
ஆய்வறிக்கை	тезис
தடங்கல்	перебил
தடங்கல்	прервал
பெய்ரூட்	бейруте
பெய்ரூட்	бейрут
குளியலறை	туалет
குளியலறை	ванную
குளியலறை	ванная
குளியலறை	ванной
படைப்பாற்றல்	творчество
மியா	миа
மியா	мия
ஸ்மிருதி	смрити
நிலவே	чанд
கீறல்	нуля
நன்கொடைகள்	пожертвования
லியு	ноу
லியு	лей
லியு	лю
ரிஸ்	рис
வறுத்த	жареные
அழுக்கு	грязно
அழுக்கு	грязная
அழுக்கு	грязные
அழுக்கு	грязный
ஊமை	тупой
தொண்ணூறு	девяносто
செவ்வி	шевроле
பச்சையம்	хлорофилл
பேதை	трава
பேதை	траву
அதிர்ஷ்டம்	удача
முட்டி	колена
முட்டி	колено
முட்டி	стук
படிப்பினை	моральная
படிப்பினை	мораль
படிப்பினை	моральный
மகலன்	магеллан
அழைத்தல்	звонок
அழைத்தல்	звонить
அழைத்தல்	призвание
ரிமோட்	дистанционное
ரிமோட்	дистанционного
ரிமோட்	пульт
ஏசு	иисус
மூடநம்பிக்கை	суеверие
ஹக்கீம்	хаким
லுமும்பா	лумумбы
கிளியோபாட்ரா	клеопатра
சீஸ்	сыр
உள்ளமை	внутренние
உள்ளமை	внутреннего
உள்ளமை	внутренняя
உள்ளமை	внутреннее
உள்ளமை	внутренний
நல்லிணக்க	примирение
நல்லிணக்க	примирения
இசுப்புட்னிக்	спутник
முடிசூட்டு	коронации
நிக்கோலா	николя
நிக்கோலா	никола
வழங்குவோர்	поставщика
வழங்குவோர்	поставщик
வழங்குவோர்	поставщики
வழங்குவோர்	провайдеров
வழங்குவோர்	провайдер
சக்ரா	чакра
வில்லியம்சன்	уильямсон
சிட்டகாங்	читтагонг
செங்கற்கள்	кирпичи
செங்கற்கள்	кирпич
ஏர்ல்	эрл
மார்க்கெட்டிங்	маркетинг
மார்க்கெட்டிங்	сбыт
மார்க்கெட்டிங்	маркетинга
கன்பூசியம்	конфуцианства
பதிலடி	возмездия
பதிலடி	возмездие
எரிந்த	сожгли
ராண்டி	рэнди
அழுத்தமாக	депрессия
அழுத்தமாக	подавлен
ஒஸ்லோ	осло
தியோ	тео
மயானம்	кладбище
விவாதித்து	обсуждаем
விவாதித்து	обсуждают
ஃபிஷர்	фишер
நீர்க்காகம்	баклан
வடித்த	скульптор
வெளியேறுதல்	выход
கவனி	слушайте
கவனி	уведомлять
கவனி	уведомить
கவனி	послушай
கவனி	часы
கவனி	посмотреть
கவனி	смотрите
கவனி	смотреть
ஒன்றுமில்லை	ничего
ஒன்றுமில்லை	ничто
சேம்பர்	палата
சேம்பர்	камера
உருவாக்குநர்கள்	разработчиков
உருவாக்குநர்கள்	разработчики
உருவாக்குநர்கள்	разработчикам
ஊறுகாய்	огурец
கோருகிறது	тащит
மாரா	мара
உள்ளங்கை	ладонь
உள்ளங்கை	ладони
உள்ளங்கை	палм
கம்யூனிஸ்டுகள்	коммунисты
கம்யூனிஸ்டுகள்	коммунистов
ஒருமனதாக	единогласно
ஒருமனதாக	единодушно
பேரழிவுகள்	бедствия
கவிஞன்	поэта
கவிஞன்	поэт
கோமா	кому
விபத்துக்குள்ளானது	окинаве
கோமாளி	клоун
கிர்கிஸ்தான்	кыргызстан
துணையை	мат
துணையை	приятель
கீரி	мангуст
சுருக்கப்பட்ட	сократил
சுருக்கப்பட்ட	сократили
அழுத்தவும்	пресса
அழுத்தவும்	нажать
அழுத்தவும்	нажмите
அழுத்தவும்	пресс
அழுத்தவும்	печати
பாதிக்கப்பட்டவர்	пострадавший
பாதிக்கப்பட்டவர்	жертва
பாதிக்கப்பட்டவர்	потерпевший
தொலைநிலை	дистанционное
தொலைநிலை	дистанционного
தொலைநிலை	пульт
கண்ணியம்	достоинство
கண்ணியம்	достоинства
கிடங்குகள்	склады
கிடங்குகள்	складов
வாளி	ведро
பியா	пиа
கொழுந்து	пламени
ஃபால்	падение
ஃபால்	осенью
ஃபால்	упасть
ஃபால்	осень
அடோல்ஃப்	адольф
குறிச்சொல்	термин
இறந்தவரின்	умершего
இறந்தவரின்	скончался
இறந்தவரின்	скончалась
இறந்தவரின்	покойный
இறந்தவரின்	умершие
துள்ளும்	надувной
ஜேமி	джейми
சிரி	смеяться
சிரி	смех
சுகர்	сахар
பூத்து	бут
பூத்து	бута
ரெய்க்	рейха
ரெய்க்	рейх
கிமி	кими
துடிப்பான	яркая
தலைப்பாகை	тюрбан
பீக்	пик
பீக்	заглянуть
சுவரொட்டிகள்	плакаты
லாண்டன்	лэндон
பலாவு	палау
விட்டும்	из
விட்டும்	от
டையர்	дайер
ஆகிறார்	становится
மாயம்	магия
மாயம்	волшебство
மாயம்	волшебная
கிரெடிட்	кредитная
கிரெடிட்	кредита
கிரெடிட்	кредит
சுருக்கமாகவும்	краткое
பிரச்சாரங்கள்	кампании
கோயா	гойя
விரும்புகிறது	хочет
மூதாதையர்கள்	отцы
மூதாதையர்கள்	отцов
துரு	ржавчины
லாப்ரடோர்	лабрадора
வால்கிரி	валькирия
லத்தீப்	латиф
மின்ஸ்க்	минск
இல்லுமினாட்டி	иллюминатов
பூம்	бум
பெலருசிய	белорусские
கெர்	керр
நங்கூரம்	якорь
கனெடிகட்	коннектикут
ஜித்தா	джидде
செறிவூட்டப்பட்ட	обогатили
மஸ்கட்	мускат
ஜெசிக்கா	джессика
ஆதாரமற்ற	предположения
ஆதாரமற்ற	допущения
பாசாங்கு	притворяться
பாசாங்கு	притворяется
மிட்டாய்	кэнди
மிட்டாய்	конфеты
டாக்சி	такси
கொண்டாடுகிறது	празднует
வெளிநாட்டவர்	иностранцы
வெளிநாட்டவர்	иностранец
நியூமன்	ньюман
கடித்து	укусить
கடித்து	укус
தாய்மார்கள்	матерям
தாய்மார்கள்	матери
தாய்மார்கள்	матерей
வரிசைப்படுத்தப்பட்ட	очереди
இதமான	крит
ஏக்கம்	ностальгия
முளை	ростки
ஆர்ப்பாட்டத்தில்	протеста
தொட்டது	тронут
தொட்டது	коснулся
தொட்டது	трогал
சவுல்	сол
சவுல்	соул
திருநங்கை	транссексуалов
ஜான்ஸ்டன்	джонстон
எண்ணமும்	оформление
வரையறு	уточнить
வரையறு	совершенствовать
சரியானதாக	идеальная
சரியானதாக	идеальный
சரியானதாக	идеально
ஜனநாயகம்	демократия
ஜனநாயகம்	демократии
ஆரோக்கியமாக	здоровое
ஆரோக்கியமாக	здорового
ஆரோக்கியமாக	здоровый
ஆரோக்கியமாக	здоровые
ஆரோக்கியமாக	здоровая
தீத்து	тит
பிரசவ	родов
பிரசவ	роды
ஏற்றத்தாழ்வு	неравенство
ஏற்றத்தாழ்வு	неравенства
ரோந்து	патрульные
ரோந்து	патруль
ரோந்து	патрулирование
படகோட்டம்	плавания
கேலக்ஸி	галактике
கேலக்ஸி	галактика
கேலக்ஸி	гэлакси
தளவாடங்களை	материально
மெழுகுவர்த்தி	свечу
மெழுகுவர்த்தி	свеча
வெய்ன்	уэйн
டேவிட்சன்	дэвидсон
ஹைட்ரோ	гидро
லூசோன்	лусон
கிண்ணத்தில்	чаша
கிண்ணத்தில்	чашу
பால்மர்	палмер
லெஸ்டர்	лестер
சொத்தாக	реликвия
ரேடான்	радон
ஜமைக்கா	ямайки
ஜமைக்கா	ямайка
ஷெரீப்	шариф
வேகா	вега
அதிகாரங்களைக்	милитаризма
ரோனி	рони
ரோனி	ронни
புயல்கள்	бури
சூதாட்டம்	казино
திமீத்ரி	дмитрий
நாபொலி	неаполь
சிம்சன்	симпсон
திமில்	горб
பவேரியா	баварии
டென்வர்	денвер
சேறு	грязь
சேறு	грязи
லியோனார்டோ	леонардо
கான்பரா	канберре
டன்கிர்க்	дюнкерк
சர்வே	обследования
சர்வே	опрос
சர்வே	обследование
சான்சி	чонси
சோகம்	трагедия
சோகம்	трагическая
சோகம்	печально
சோகம்	печаль
சோகம்	печали
சோகம்	грустная
சோகம்	трагические
சோகம்	грусти
சோகம்	трагических
சோகம்	грустный
சோகம்	грусть
சோகம்	грустно
சோகம்	трагический
இயக்கவும்	играйте
இயக்கவும்	играй
இயக்கவும்	играть
ஆர்கானிக்	органический
ஆர்கானிக்	органических
ஆர்கானிக்	органические
நிமி	мин
முழுமையற்ற	неполной
முழுமையற்ற	неполный
சவாலான	вызов
சவாலான	сложных
சுரண்டல்	эксплуатация
தகராறு	спор
தகராறு	споры
தகராறு	спора
யூரோப்பியம்	европия
பதிலளிப்பு	реакция
பதிலளிப்பு	реакции
சர்க்கஸ்	цирк
சகிப்புத்தன்மை	допуск
சகிப்புத்தன்மை	терпимость
சகிப்புத்தன்மை	терпимости
அன்பளிப்பு	подарок
அன்பளிப்பு	дар
சூயஸ்	зюсс
ஹீரா	гера
மார்கோ	марко
மோரி	мори
ஏரியல்	ариэль
ஏரியல்	воздушная
ஏரியல்	воздушных
ரிச்சர்ட்ஸ்	ричардс
மண்ணெண்ணெய்	керосин
அல்ட்ரா	ультра
நிருபர்	репортёр
நிருபர்	журналистка
நிருபர்	репортер
நிருபர்	журналист
டோரதி	дороти
கூல்	круто
கூல்	крутые
கூல்	крутая
கூல்	классные
பவுண்டேஷன்	фундамент
பவுண்டேஷன்	основа
பவுண்டேஷன்	фонд
பவுண்டேஷன்	основание
பிரமிடுகள்	пирамиды
பெருமையுடன்	гордостью
பெருமையுடன்	гордо
தினார்	динар
குரியன்	гурион
பீல்	пил
சுசி	сьюзи
சுசி	суши
சுசி	сюзи
ஜூலியட்	джульет
ஜூலியட்	джульетта
லேகர்ஸ்	лейкерс
சுவிச்சர்லாந்து	швейцарии
சுவிச்சர்லாந்து	швейцарию
சுவிச்சர்லாந்து	швейцария
சாத்தியமற்றது	невозможно
சாத்தியமற்றது	невозможное
செபாஸ்டியன்	себастьян
பழக்கமான	знакомо
பழக்கமான	знакомое
பழக்கமான	знакомые
பழக்கமான	знакомая
பழக்கமான	знакомый
பழக்கமான	знакомы
வண்ணமயமான	разноцветные
லெக்	лек
ஓத	приливов
சிறுநீரகங்கள்	почки
பொருத்தது	зависит
பொருத்தது	смотря
பீமா	бхима
பந்தயங்கள்	ставки
ஜாம்	джем
நைஜீரிய	нигерии
ஸ்டோர்	магазин
வறட்சியான	тимьян
சூனியம்	магия
சூனியம்	волшебство
சூனியம்	волшебная
தேடுவது	ищу
தேடுவது	смотрю
டால்ஸ்டாய்	толстого
டால்ஸ்டாய்	толстой
டால்ஸ்டாய்	толстая
கையாள்கிறது	истерику
சேர்ப்புப்	ассоциативных
காலக்கெடு	сроки
காலக்கெடு	хронике
காலக்கெடு	хроника
காலக்கெடு	хроники
தேள்	скорпион
ஃபில்	фил
ஃபில்	фила
சந்தர்ப்பங்கள்	ситуации
வசிப்பிடம்	проживание
வசிப்பிடம்	резиденция
சர்வாதிகாரம்	диктатуры
பனம்	пальмира
பிஸ்மார்க்	бисмарк
பதிவேற்றிய	загружен
பதிவேற்றிய	загрузил
பதிவேற்றிய	загрузили
பதிவேற்றிய	загружены
உத்தரகண்ட்	уттаракханд
விளையாட்டைப்	играйте
விளையாட்டைப்	играй
விளையாட்டைப்	играть
டிரினிட்டி	троица
கேனரி	канарских
கத்தரிக்காய்	баклажаны
தடுப்பிகள்	ингибитор
மானுவல்	мануэль
ஷாஹித்	шахид
யூதாசு	иуда
தளர்வு	релаксации
கணிப்பான்	калькулятор
சண்டையிடும்	бои
நியூட்ரினோ	нейтрино
மென்மை	мягкая
மென்மை	мягкое
மென்மை	зажигалка
மென்மை	легче
மென்மை	мягкие
மென்மை	нежная
மென்மை	мягкий
பழகிய	знакомство
குளித்தல்	купания
யுன்	юн
ரோச்	рош
ரோச்	роуч
மறைத்தல்	скрываю
மறைத்தல்	скрывает
ரிச்சி	ричи
ஓவர்சீஸ்	заморских
ஓவர்சீஸ்	зарубежные
பெறுநர்	приемник
பெறுநர்	получателя
பெறுநர்	получатель
அசிரிய	ассирийский
சுவாசிலாந்து	свазиленд
விரிவுரைகள்	лекции
ஜனனி	джанин
மர்லின்	мэрилин
பீட்டர்ஸ்	питерс
தலையிட	вмешаться
மரியாதையை	уважаю
மரியாதையை	уважать
மரியாதையை	респект
மரியாதையை	уважение
சொற்பொருளியல்	семантика
மடக்கு	цикл
மடக்கு	петля
மேன்மையான	супер
கவலைகள்	озабоченности
காயங்களை	раны
காயங்களை	ран
தருவதற்கு	заверить
மூடுபனி	туман
மந்தை	рой
ஸ்வாமி	свами
அண்டங்கள்	яички
இளமையான	младший
இளமையான	молодых
இளமையான	младшая
இளமையான	молодые
இளமையான	янг
இளமையான	молодая
இளமையான	молодой
அன்பான	любящий
அன்பான	любить
அன்பான	любящая
முதியவர்கள்	старейшины
முதியவர்கள்	старейшин
அல்ஜியர்ஸ்	алжире
அல்ஜியர்ஸ்	алжир
தைலம்	бальзам
தாய்பெய்	тайбэй
ஸ்பியர்ஸ்	спирс
ஸ்பியர்ஸ்	копья
நொந்து	сожгли
ரூசோ	руссо
வெப்பமானி	термометр
கான்வென்ட்	монастырь
டார்ச்	факел
டோகோ	инструменты
டோகோ	сервис
டோகோ	того
வருகிறாள்	восстанавливается
எட்வர்ட்ஸ்	эдвардс
டிக்கி	тики
புதியது	новые
புதியது	новинка
புதியது	новая
புதியது	новое
புதியது	новый
புதியது	новых
அன்போடு	одержима
அன்போடு	одержимый
அன்போடு	одержим
லாட	подкова
ஐதரைடு	гидрид
பொருளாளர்	секретарша
பொருளாளர்	казначей
பொருளாளர்	секретарь
தடுக்கப்பட்டது	заблокирована
தடுக்கப்பட்டது	заблокирован
தடுக்கப்பட்டது	заблокированы
உள்ளிடு	ввод
உள்ளிடு	войти
உள்ளிடு	введите
மதச்சார்பற்ற	светского
பேஸ்புக்	фейсбук
சியன்	шон
ஜஹாங்கீர்	джахангир
புலன்கள்	чувства
கம்பளம்	ковёр
கம்பளம்	ковер
சாம்பிராணி	ладан
போலீசார்	полицейские
போலீசார்	копы
ஃபிரீமன்	фриман
யெரெவான்	ереван
பதூதா	баттута
படிக்கட்டு	ступеньки
படிக்கட்டு	лестницы
படிக்கட்டு	лестнице
படிக்கட்டு	лестница
தீமைகள்	злая
தீமைகள்	злой
தீமைகள்	зло
தீமைகள்	минусы
தீமைகள்	зла
நாஸ்	наз
வெளியீட்டாளர்கள்	издателей
ஓமன்	омана
ஓமன்	оман
செழிப்பு	процветания
செழிப்பு	благосостояние
செழிப்பு	процветание
நைலான்	нейлон
விவரணம்	описание
பம்ப்	насос
எளிமையானது	простой
எளிமையானது	простая
எளிமையானது	простое
எளிமையானது	простые
சுவாரசியமான	интересно
சுவாரசியமான	интересные
சுவாரசியமான	интересная
சுவாரசியமான	интересный
சுவாரசியமான	интересное
துன்புறுத்தல்	преследования
துன்புறுத்தல்	преследование
துன்புறுத்தல்	притеснения
துன்புறுத்தல்	домогательства
மிதி	педали
மிதி	педаль
வேலைநிறுத்தம்	забастовка
வேலைநிறுத்தம்	забастовку
கத்திகள்	ножи
இம்சை	пытки
இம்சை	пыток
இம்சை	пытка
டப்பிங்	озвучке
மாண்டி	мэнди
மரீனோ	марино
கணி	вычислить
கணி	калькулятор
கணி	расчета
கணி	калькуляторов
கணி	расчёт
கணி	рассчитать
கணி	вычисления
மித்ரா	митра
ஜென்னா	дженна
ஊழியர்களும்	служащие
ஊழியர்களும்	работников
ஊழியர்களும்	сотрудники
ஊழியர்களும்	работники
லூகாஸ்	люка
லூகாஸ்	лукас
பால்டிமோர்	балтиморе
பால்டிமோர்	балтимор
கங்காரு	кенгуру
குர்திஸ்தான்	курдистана
டார்	тар
ஏமாற்றும்	обмануть
ஏமாற்றும்	обман
ஏமாற்றும்	измена
அழுகை	плачет
அழுகை	плачу
அழுகை	плакать
அழுகை	плачь
அழுகை	плач
கிப்ளிங்	киплинг
தப்பு	неправильный
தப்பு	неправильно
தப்பு	неверно
டொமினிக்கா	доминика
மறுக்கின்றனர்	отказываясь
சிஞ்சியாங்	синьцзян
இலவாசியே	лавуазье
புர்க்கினா	буркина
மோரிஸ்	моррис
ராட்	род
ராட்	стержень
தொகுப்பி	сборщик
தொகுப்பி	композитор
தொகுப்பி	редактор
தொகுப்பி	редактора
பைக்	велосипед
பைக்	пайк
பைக்	байк
கொலுசு	браслет
பன்	бан
சிபாரிசு	заступничество
யென்	иен
யென்	йена
யென்	йен
தேரா	тера
பீடி	пит
பீடி	пита
வெளியிடு	опубликовать
வெளியிடு	публиковать
அல்பேனிய	албанцев
கேப்ரியல்	габриэль
இனிமையாக	сладкая
இனிமையாக	сладкие
இனிமையாக	сладкий
தூக்கில்	повесили
ஓரியன்	орион
சாப்பாடு	питание
சாப்பாடு	еды
சாப்பாடு	продовольствие
சாப்பாடு	продовольственной
சாப்பாடு	пища
சாப்பாடு	еда
ஹராம்	харам
விவாதிக்க	обсудить
கட்டுக்கதை	миф
தகர	тин
லென்	лен
கேமராக்கள்	камеры
கர்டிஸ்	кертис
கர்டிஸ்	кёртис
ஸ்டெயினர்	штайнер
கீரைகள்	зелень
கீரைகள்	зелёные
வில்லிஸ்	уиллис
ஹவா	хава
வளமை	пышные
வலியுறுத்தல்	одобрение
மிருதுவான	крисп
தூக்கும்	снятие
தூக்கும்	отмены
சிலம்பன்	тимелия
போடு	поставить
யவ்	яу
சோரா	сора
கருத்துகளில்	замечания
கருத்துகளில்	комментарии
மெரீனா	марина
நேர்த்தி	элегантность
தகுதியுள்ள	квалификация
பெவர்லி	беверли
ஏணி	лестницу
ஏணி	лестнице
ஏணி	лестница
சோதிக்கப்பட்டது	испытанию
சாட்டை	кнут
எடித்	эдит
பொப்பர்	поппер
அவிலா	авила
சூசி	сьюзи
சூசி	сюзи
ஆண்மகன்	данило
விழுதல்	падение
விழுதல்	осенью
விழுதல்	упасть
விழுதல்	осень
பர்ட்டன்	бёртон
பர்ட்டன்	бартон
போஸ்டர்	постер
போஸ்டர்	плакат
ரவூப்	рауф
எச்ச	остаточного
சமீரா	самира
சாக்ஸ்	саксофон
சாக்ஸ்	сокс
மனைவிக்கும்	жене
மனைவிக்கும்	жены
மனைவிக்கும்	жена
மரங்கொத்தி	дятел
சர்ரே	суррей
டாஸ்மான்	тасман
அவமானம்	позор
அவமானம்	оскорблять
அவமானம்	стыдно
அவமானம்	оскорбление
அவமானம்	стыд
அமைடு	амид
பஹ்ரைன்	бахрейн
பஹ்ரைன்	бахрейна
பஹ்ரைன்	бахрейне
மெண்டல்	мендель
வீடியோவை	видео
தாராள	щедрые
தாராள	щедро
தாராள	щедрый
தாராள	щедрость
ஹெபடைடிஸ்	гепатит
அயோவா	айова
லீனா	лина
செனகல்	сенегал
செனகல்	сенегале
செனகல்	сенегала
பிரிட்னி	бритни
பிராங்கோ	франко
டாவ்	тау
ஜெஸ்ஸி	джесси
சொன்னேன்	сказал
சொன்னேன்	рассказал
சொன்னேன்	саид
டானி	дани
டானி	дэни
மாடல்கள்	моделей
மாடல்கள்	модели
சரளமாக	свободно
அறையை	комната
மணப்பெண்	свадебный
மணப்பெண்	невеста
மணப்பெண்	свадебные
கிரெக்	грег
சைபர்	кибер
பட்டன்	кнопку
பட்டன்	кнопка
வில்லியர்ஸ்	вилье
கிராம்பு	гвоздики
காத்தலோனியா	каталонии
ஸ்பிரிங்	весенний
ஸ்பிரிங்	весна
புறக்கணிக்கப்பட்ட	игнорируется
புறக்கணிக்கப்பட்ட	игнорировать
வர்ணனை	комментарий
வர்ணனை	комментарии
சல்பூரிக்	серная
அனைவர்	коленях
காசுப்பியன்	каспийского
மனிதம்	человечности
மனிதம்	человечество
மனிதம்	человечность
குடம்பி	личинка
நார்டன்	нортон
கிட்டி	китти
கிட்டி	кити
பிரெய்லி	брайля
மார்ட்	март
ஹிலாரி	хиллари
ஹிலாரி	хилари
மறுக்கிறது	отрицает
உய்குர்	уйгурский
சீரியஸ்	серьезно
சீரியஸ்	серьезная
சீரியஸ்	серьёзные
சீரியஸ்	серьезный
சீரியஸ்	серьезные
பொருந்தக்கூடிய	совместимость
மறைவான	сокровенное
நச்சியல்	токсикологии
லக்	удача
பாண்	бон
வேலைக்காரி	служанка
வேலைக்காரி	горничная
மாவோயிஸ்ட்	маоистской
ஆர்க்கிட்	орхидея
கோல்மன்	коулман
பெர்னதெத்	бернадетт
ரோமா	рома
ரோமா	цыгане
அச்சிடுதல்	печать
போக்கர்	покер
கொட்டு	кровотечение
எல்விஸ்	элвис
பீனால்	фенол
லைசின்	лизин
பல்ஸ்	пульс
பல்ஸ்	импульс
போர்க்களம்	битва
போர்க்களம்	бой
போர்க்களம்	сражение
விருப்பத்தேர்வு	необязательно
விருப்பத்தேர்வு	факультативно
விருப்பத்தேர்வு	предпочтения
விருப்பத்தேர்வு	факультативные
