और	и
ऑफ़लाइन	офлайн
प्रोजेक्टर	проекторы
प्रोजेक्टर	проектор
किचन	кухне
किचन	кухни
किचन	кухня
बोल्डर	боулдер
गश्ती	патрульные
गश्ती	патруль
गश्ती	патрулирование
मैग्वायर	магуайр
ट्यूनिंग	тюнинг
ओकिनावा	окинаве
एंड्रयूज	эндрюс
कंट्रास्ट	контраст
बाटा	бата
खलिहान	сарай
खलिहान	сарае
शर्मिंदा	стыдно
कुर्सियों	стулья
कुर्सियों	кресла
कुर्सियों	председатели
ब्रोंकाइटिस	бронхит
रीफ	рифов
नलिकाएं	протоки
संतरी	сентинел
संतरी	часовой
नुस्खा	рецепт
टाँगे	лапки
टाँगे	ноги
टाँगे	ножки
हेंडरसन	хендерсон
आइलैंड्स	островов
आइलैंड्स	острова
सुदृढीकरण	подкрепление
सुदृढीकरण	подкрепления
नॉटिंघमशायर	ноттингемшир
मेगाबाइट	мегабайт
माइग्रेशन	миграция
माइग्रेशन	миграции
बेकरी	пекарни
गोल्डस्मिथ	голдсмит
पाइपर	пайпер
एनचांटेड	зачарованный
एनचांटेड	очарован
चूल्हा	печь
चूल्हा	духовке
कार्यकर्त्ता	работников
कार्यकर्त्ता	рабочий
कार्यकर्त्ता	рабочие
कार्यकर्त्ता	работники
कार्यकर्त्ता	трудящиеся
कार्यकर्त्ता	трудящихся
कार्यकर्त्ता	работник
जम्पर	прыгунов
अमाया	амайя
हॉग्वार्ट्स	хогвартс
कर्मा	карма
अलीशा	алиша
वायुगतिकी	аэродинамика
जड़त्व	инерции
लौरा	лаура
लौरा	лора
मनमौजी	непредсказуемым
हन्ना	ханна
बेथ	бет
बेथ	вифлееме
बेथ	бэт
वफ़ादारी	верность
वफ़ादारी	верности
ओसेतिया	осетии
रेस्ट	отдых
रेस्ट	отдохнуть
वार्डन	надзиратель
वार्डन	начальник
मस्से	бородавки
गेरी	гэри
गेरी	гари
भेस	маскировка
डेसमंड	дезмонд
अनादर	неуважение
पोस्टकार्ड	открытки
पोस्टकार्ड	открытка
प्रीस्कूल	дошкольного
स्मारिका	сувенир
अंतरात्मा	совесть
अंतरात्मा	совести
अंतरात्मा	сознание
मिडलटन	миддлтон
पैंजिया	пангея
जंजीरों	цепочки
जंजीरों	цепи
टिड्डी	саранчи
निकालें	экстракт
निकालें	удалить
निकालें	извлечь
निकालें	добычи
निकालें	выдержка
निकालें	извлечение
निकालें	убрать
अब्दुर्रहमान	абдуррахман
बढ़ेगी	увеличение
बढ़ेगी	увеличить
दौड़ना	бегать
दौड़ना	спешат
दौड़ना	бег
तितलियाँ	бабочек
तितलियाँ	бабочки
डायरीज़	дневники
बोडेन	боуден
निदा	нида
दिष्टकारी	выпрямитель
इट्रियम	иттрия
कारनामे	подвигах
क्लेटन	клейтон
एलियंस	пришельцы
एलियंस	иностранцы
एलियंस	инопланетяне
एलियंस	иностранцев
कारी	кари
यांकीज़	янки
चरने	выпаса
रेनी	рене
मूर्च्छा	анестезии
अरैखिक	нелинейных
ग्रैजुएट	окончила
ग्रैजुएट	окончил
ग्रैजुएट	выпускник
कातिल	киллер
कातिल	убийца
संदीप्ति	люминесценция
वचनबद्ध	совершенные
वचनबद्ध	совершено
वेल्ड	уэлд
युक्तियुक्त	разумный
युक्तियुक्त	разумная
युक्तियुक्त	разумное
युक्तियुक्त	разумные
युक्तियुक्त	разумно
आईटीसी	квт
डिलन	диллон
डिलन	дилана
डिलन	дилан
विजार्ड	волшебник
विजार्ड	мастер
पेटा	пета
बुलियन	логическое
सहेजें	сохранить
सहेजें	сохраните
सहेजें	спасти
सहेजें	сохранять
रेक्जाविक	рейкьявика
पंक्तिबद्ध	выравнивание
क्रिप्टोग्राफी	криптографии
नन्हा	крошечные
नन्हा	крошечный
तस्कर	контрабандистов
बुसान	пусане
ओसिरिस	осирис
गुंडों	хулиганы
डिस्क्रीट	отдельных
कॉन्फ़िगर	настройка
कॉन्फ़िगर	настроить
प्रतिबंधक	ограничительные
केटी	кэти
केटी	кейти
लिटा	лита
आर्ची	арчи
कॉम्पटन	комптон
धानीप्राणी	сумчатый
करानी	карачи
ट्रैफर्ड	траффорд
कड़वी	горький
कड़वी	горько
टोबी	тоби
छेदक	резцов
संदिग्धों	подозреваемые
संदिग्धों	подозреваемых
विलेन	злодей
कच	кача
संधारणीयता	устойчивость
ट्रफ़ैलगर	трафальгарской
एनक्रिप्शन	шифрования
एनक्रिप्शन	шифрование
शोभायात्रा	шествие
सेक	сек
स्क्रॉल	свиток
दालान	коридор
दालान	коридоре
पीपा	бочонок
बाबु	бабу
वालरस	морж
रीयूनियन	воссоединение
दहशत	паника
दहशत	панику
दहशत	паники
सिरैक्यूज़	сиракузах
मुठभेड़ों	встречи
तंतुमय	волокнистые
व्हीलचेयर	коляске
सूकी	соки
सूकी	суки
बैंकर्स	банкиры
बैंकर्स	банкиров
बोअर	бур
समन्वयक	координатор
समन्वयक	координатора
याना	яна
प्रेस्ली	пресли
आज्ञाकारी	послушным
रोनी	ронни
वफ़ादार	верная
वफ़ादार	преданный
वफ़ादार	верный
वफ़ादार	верные
आज्ञाकारिता	послушание
आज्ञाकारिता	повиноваться
आज्ञाकारिता	подчинение
आज्ञाकारिता	покорность
स्ट्रासबर्ग	страсбурге
होलोग्राम	голограмма
तलने	жарки
क्रेट	крит
रमजान	рамадан
यांग्त्से	янцзы
देशवासी	соотечественники
करदाताओं	налогоплательщиков
बुर्किना	буркина
काफिर	неверный
टंगस्टन	вольфрам
फिक्स	починить
फिक्स	исправить
आल्टो	альто
केर	керр
मिंटो	минто
पुखराज	топаз
अनुदानों	гранты
अनुदानों	субсидии
अनुदानों	субсидий
अनुदानों	дотации
रवा	рава
भद्दा	ужасно
भद्दा	уродливый
गोरान	горан
बोगोटा	боготе
कुस्तुंतुनिया	константинополь
सामन	лосося
सामन	лосось
डेज़ी	дейзи
डेज़ी	дэйзи
फासीवाद	фашизм
ब्राउज़िंग	просмотр
फैक्स	факс
आस्त्राख़ान	астрахань
इगोर	игорь
पूंजीपतियों	капиталисты
अटलांटिस	атлантис
चार्जर	зарядка
देशद्रोही	предатель
आशाओं	надеется
आशाओं	надежды
शिपमेंट	поставка
शिपमेंट	груз
शिपमेंट	поставки
भून	фрай
भून	срю
विडम्बना	ирония
सब्र	терпения
सब्र	терпение
ज़ीटा	зета
डार्न्ले	дарнли
अनुक्रमणिका	указатель
अनुक्रमणिका	индекс
डीबगिंग	отладки
शर	широты
नेस	несс
अभिव्यंजनावाद	экспрессионизм
कूहिस्तोनी	горно
खामोश	молчать
खामोश	молчание
सीवेज	канализации
एस्प्रेसो	эспрессо
फ्लोटिंग	плавающих
सम्बद्धता	ассоциации
सम्बद्धता	ассоциация
सम्बद्धता	ассоциаций
फूको	фуко
तराना	тарана
तलवारों	мечи
बग्स	ошибки
बग्स	жуки
बग्स	жуков
एड्रियाटिक	адриатического
पलकें	ресниц
पेट्रो	петро
रुआनो	руано
वल	вал
वल	вэл
सिंडिकेट	синдикат
फ़ोरम	форум
फ़ोरम	форуме
कड़वाहट	горечь
सीवर	канализации
आंटी	тётя
ओवरहेड	накладных
उत्कीर्णन	резьбой
उत्कीर्णन	резьбу
प्रभुपाद	прабхупада
इंटरेक्टिव	интерактивный
इंटरेक्टिव	интерактивного
इंटरेक्टिव	интерактивные
रिपोर्ट्स	доклады
रिपोर्ट्स	отчеты
व्हिटनी	уитни
लैम्बर्ट	ламберт
शापित	проклятый
शापित	проклят
शापित	проклятая
गीज़	блин
क्लैश	столкновения
क्लैश	столкновение
बल्क	навалом
क्रेजी	сумасшедшая
क्रेजी	безумно
क्रेजी	сумасшествие
क्रेजी	сумасшедший
क्रेजी	безумие
लक्ष्यीकरण	направленность
वोरार्लबर्ग	форарльберг
पाएँ	получите
पाएँ	получить
पास्कुआल	паскуаль
लाइटर	зажигалка
लाइटर	легче
लाइटर	зажигалки
अदनान	аднан
मारिजुआना	марихуаны
मेपल	кленовый
सर्वेयर	топограф
हैकर्स	хакеры
पोर्क	свинину
पोर्क	свинина
कुंडलिनी	кундалини
पुनरोद्धार	оживление
पुनरोद्धार	активизация
कौआ	ворон
कौआ	ворона
कौआ	кроу
जैकलिन	жаклин
क्रिप्ट	склеп
बूस्टर	бустер
नज्द	неджд
न्यूपोर्ट	ньюпорт
अइमग	аймаков
कैंटीन	столовой
सीस्तान	систан
फोलिक	фолиевой
ट्रेंड	тенденция
डाइजेस्ट	дайджест
नारीन	нарын
शर्ली	ширли
कैविटी	кариеса
गिंसबर्ग	гинзберг
ट्वीटर	твиттер
तेनरीफ़	тенерифе
संक्षिप्तता	краткости
पिछड़ेपन	отсталости
जांग	цзян
क्लाएंट	клиент
क्लाएंट	клиента
वनस्पतिशास्त्री	ботаник
टाइमिंग	сроки
प्रमोशन	продвижение
प्रमोशन	поощрение
प्रमोशन	поощрения
प्रमोशन	повышение
जूड	джуд
लौटाया	возвращено
लौटाया	вернулся
अभिमानी	высокомерный
नाइजीरियाई	нигерии
आनंदित	блаженная
बनू	бану
स्टीन	штайн
मोच	растяжение
शाओलिन	шаолиня
अनुहरण	мимикрия
हंगेरियाई	венгерский
हंगेरियाई	венгрии
हंगेरियाई	венгрия
गबन	дрон
कोपरनिकस	коперник
गूँज	эко
गूँज	эхо
वेस्टन	вестон
दूरियां	расстояния
खंजन	трясогузка
ऑरलियन्स	орлеан
थेल्स	фалес
गुस्तावो	густаво
झांझ	звучащий
बांझपन	бесплодия
ईनाम	премия
ईनाम	приз
चलेगी	беги
चलेगी	запустить
बाँदा	банда
प्रॉक्सी	прокси
माझी	маджи
इलाम	илам
सिसरो	цицерон
कोसा	консерватизм
अलर्ट	оповещение
अलर्ट	тревога
अलर्ट	оповещения
अलर्ट	предупреждения
स्पेक्ट्रमिकी	спектроскопия
बैपटिस्ट	баптистов
चपलता	ловкость
शाहबाज	шахбаз
मेटर	метр
मेटर	мэтр
कुम	кума
प्रविष्टियाँ	записи
कुंठित	расстроен
छज्जे	балкон
स्थानीयकरण	локализации
डिस्काउंट	скидка
डिस्काउंट	скидки
अला	аля
हैमलेट	гамлет
टोरी	тори
विंस	винса
विंस	винс
गीजर	гейзер
मखमल	бархат
लोनली	одинок
लोनली	одиночество
लोनली	одиноко
लोनली	одинокая
लोनली	одинокий
बोतलें	бутылки
बोतलें	бутылок
गैरेज	гараж
गैरेज	гараже
मोटो	мото
दहलीज	порог
कारवां	караван
खतम	закончить
खतम	завершить
उपश्रेणी	подкатегории
बॉक्साइट	бокситов
थायराइड	щитовидной
ग्राम्शी	грамши
नकाबपोश	маске
एमिलियो	эмилио
बरफ	снег
बरफ	снега
बरफ	сноу
आडियो	аудио
आडियो	звук
क्रॉमवेल	кромвель
बेलो	белло
बेलो	белу
बेलो	бело
काइल	киль
काइल	кайл
सुधारें	изменить
बार्टन	бартон
प्रोन्नत	поднять
चरागाहों	пастбища
भूकंपीय	сейсмической
पूर्वानुमानित	предсказал
गिरोहों	группировки
गिरोहों	фракции
समबाहु	равносторонний
जल्लाद	палач
कस्टडी	стражей
मनपसंद	индивидуально
मनपसंद	кубизм
मनपसंद	настроить
मनपसंद	обычай
मोजार्ट	моцарта
मोजार्ट	моцарт
मूरमान्स्क	мурманск
ईदो	эдо
निर्दयता	жестокость
स्कूबी	скуби
फार्मास्युटिकल	фармацевтических
पार्षदों	советники
झुकने	изгиба
बोल्टन	болтон
हाइड्रो	гидро
इरकुत्स्क	иркутск
मरु	мару
डेरिवेटिव	производных
डेरिवेटिव	производная
शाका	шака
भटकते	скитаться
पाओला	паола
नजारे	взгляды
नजारे	мнения
नजारे	просмотров
नजारे	просмотры
रोस	рос
रोस	роз
ओमर	омар
थप्पड़	ударить
मनोरोगी	психопат
ऑडिट	ревизии
ऑडिट	ревизия
ऑडिट	аудит
केकड़े	крабов
नौकरशाह	бюрократ
नौकरशाह	бюрократов
बेरिऑन	барион
पूछें	спросить
पूछें	спроси
पूछें	спросите
कार्यसमिति	кхо
बूँदें	капли
बूँदें	капель
मन्नत	клятвы
मन्नत	обеты
पूर्वाभ्यास	репетиции
पूर्वाभ्यास	репетиция
पूर्वाभ्यास	репетицию
नरीमन	нариман
लेस्बियन	лесбиянка
लेस्बियन	лесбиянки
लेस्बियन	лесбиянок
ट्राउट	форель
ग्वाला	боко
फ्रीज	замораживание
फ्रीज	заморозить
फ्रीज	замораживания
हेनिन	энен
झुआंग	чжуанский
पैंथर्स	пантеры
तरबूज़	арбуз
जादूगरनी	колдунья
जोहोर	джохор
विक्की	вики
पैरोकार	теоретики
कोरलियॉन	корлеоне
रज्जुकी	хордовые
असफलताओं	неудачи
असफलताओं	провалы
खामियां	недостатки
यूएई	оаэ
बद्र	бадр
संताप	сожаления
संताप	сожаление
संताप	сожалеет
सूमो	сумо
गार्नर	гарнер
इनसाइट	статистику
इनसाइट	статистика
प्रोटिस्ट	протисты
मेंडिस	мендес
अंशांकन	калибровки
अंशांकन	калибровка
वीआईपी	вип
बैश	баш
वेबसाइट्स	сайты
क्लाइड	клайд
आगस्टस	аугусто
पिच्चू	пикчу
बर्नर	горелка
गुठली	ядра
निष्कपट	откровенный
स्मार्टफ़ोन	смартфонов
स्मार्टफ़ोन	смартфон
कमांडरों	командиры
कमांडरों	командиров
इन्सुलेशन	изоляции
इन्सुलेशन	изоляция
हिलाया	потрясли
पार्टियाँ	стороны
पार्टियाँ	вечеринки
पार्टियाँ	партии
कोव	бухте
डरपोक	трусы
डरपोक	подлый
करोल	кароль
मकाओ	макао
शाहबलूत	каштан
मैनुएल	мануэль
लिफाफे	конверты
लियोनेल	леонель
लियोनेल	лайонел
फर्नांडीज	фернандес
एलीसन	эллисон
राजहंस	фламинго
अवधारण	удержание
अवधारण	удержания
इनुइट	инуитов
लेबनानी	ливана
लेबनानी	ливанские
सैमसन	самсон
साशा	саша
तिर्यक	диагональ
उड़ना	муха
उड़ना	лети
उड़ना	летать
हाओ	хао
लीनो	лено
ओटोमन	османской
हिन्दुओ	индусы
डैरेन	даррен
कुदरती	естественные
कुदरती	естественный
कुदरती	естественное
कुदरती	натуральный
कुदरती	натуральные
कुदरती	природных
वॉयजर	вояджер
बोवेन	боуэн
करक	карак
रीव	рив
अमी	ами
येलेना	елена
कॉर्पस	корпус
अगरबत्ती	благовония
वाल्श	уолш
क्रोधी	ворчун
जुगनू	светлячок
थानी	тани
दिगंश	азимут
ब्लेज़	блез
मॉड्युलेशन	модуляция
भगवद	бхагавад
रूडी	руди
जेन्सेन	дженсен
झोंके	дует
इन्वर्टर	инвертор
स्ट्रिंग्स	строки
कौवा	ворон
कौवा	ворона
कौवा	кроу
अनचाहे	нежелательных
डैमन	деймон
डैमन	дэймон
गजब	круто
गजब	классно
गजब	классная
गजब	классные
रातें	ночами
रातें	ночей
रातें	ночи
गैंडे	носорог
कोनी	конни
खोह	ден
खोह	логово
मेन्ज़ीस	мензис
रैंप	рампы
बावा	бава
संबद्धों	принадлежности
पदावनत	устарело
एज़टेक	ацтеков
बैबेज	бэббидж
रजिस्ट्रेशन	регистрация
बन्दा	слуга
बन्दा	служанка
टैन	тан
हर्षोल्लास	яркая
मांगें	требования
मांगें	требует
मस्कट	мускат
खुलेपन	открытости
खुलेपन	открытость
सूपर	супер
सर्वोच्चता	верховенство
सर्वोच्चता	превосходство
कार्ट्रिज	патрон
कार्ट्रिज	картридж
टेंशन	напряженности
टेंशन	напряжение
टेंशन	напряженность
तख़्ता	плита
तख़्ता	тарелка
तख़्ता	тарелку
ग्रीनपीस	гринпис
माशा	маша
आर्डेन	арден
एनिस्टन	энистон
बेमेल	несоответствие
बहुउद्देशीय	многоцелевых
साद	саад
मौनचेंगलाडबाख	мёнхенгладбах
गारा	минометных
रेगुलर	регулярная
रेगुलर	регулярный
रेगुलर	регулярные
रेगुलर	регулярного
रेगुलर	регулярное
निर्देशानुसार	бентинк
उत्प्लव	буй
बाँसुरी	бамбук
बाँसुरी	флейта
ओडिन	один
परिरक्षक	контроллеры
मातरम	матарам
बोरी	мешок
पेनेलोप	пенелопа
वेंटिलेशन	вентиляции
हॉपर	хоппер
जोहानसन	йоханссон
चौलाई	амарант
संकल्पित	определено
संकल्पित	определены
संकल्पित	определен
स्टाइलिश	стильный
पुलिसकर्मियों	полицейские
पुलिसकर्मियों	полицейских
बल्ली	балли
चूस	отстой
घुमने	прогуливаясь
जानिए	знай
जानिए	знать
विधुर	вдовец
स्तंभन	эрекция
स्तंभन	удержание
स्तंभन	удержания
स्तंभन	сношения
भेजें	смягчить
भेजें	послать
भेजें	отправить
टिप्स	подсказки
टिप्स	советы
एफ्रो	афро
परिक्षा	экзамены
परिक्षा	экзамен
हेंसन	хенсон
भूगणित	геодезии
बेईमान	мошенничество
बेईमान	нечестно
बेईमान	изменников
बेईमान	валет
हर्माइनी	гермиона
लीजन	легион
नजरबंद	интернирован
पुष्टिकरण	подтверждение
सूचनात्मक	информативный
मेटाडेटा	метаданные
मेटाडेटा	метаданных
हउमेया	хаумеа
छेड़खानी	флирт
होलो	голо
स्टू	рагу
क्यूँ	почему
क्यूँ	зачем
सार्त्र	сартр
विलक्षणता	новизны
विलक्षणता	новинка
मेन्यू	меню
ब्रास	брасс
दबाएँ	пресечения
दबाएँ	пресса
दबाएँ	нажмите
दबाएँ	нажать
दबाएँ	пресс
दबाएँ	печати
दबाएँ	толчок
रूंबा	румба
बीवर	бивер
एलेक	алек
जिस्म	тело
जिस्म	тела
मार्सडेन	марсден
इंजील	евангелие
करोगी	габриэль
आरज़ू	соблазнить
योको	йоко
ग्रेसन	грейсон
स्काईनेट	скайнет
क्रॉनिकल्स	хроники
नाकामी	провал
नाकामी	неудачи
नाकामी	неудача
सूजा	соуза
फ़ाउल	фол
अल्बा	альба
विधिवेत्ता	юрист
समिट	саммит
रफ	жесть
जुल्म	тирании
ठोड़ी	подбородок
ठोड़ी	чин
सोहो	сохо
ब्रैंडो	брандо
ऐलेन	элейн
स्ट्रॉ	соломы
बून	бун
रग	вена
रग	вену
दिमाग़	голова
दिमाग़	мозг
दिमाग़	головка
दिमाग़	мозги
दिमाग़	голову
दिमाग़	мозгов
फर्मवेयर	прошивки
ऐल्बीडो	альбедо
दिमित्री	дмитрий
फिलिंग	заполнение
फिलिंग	наполнения
आरामदेह	уютный
लाम	лам
हाफ़िज़	хафез
खामोशी	молчать
खामोशी	тишину
खामोशी	молчание
खामोशी	тишина
मॉर्टन	мортон
भूराजनीति	геополитика
मूस	мус
मूस	лось
दोषारोपण	утверждения
दोषारोपण	обвинения
पिछे	обратно
पिछे	спина
पिछे	назад
जेद्दाह	джидде
खिलवाड़	возиться
डीरिख्ले	дирихле
पॉपर	поппер
रिज़ॉल्यूशन	разрешение
रिज़ॉल्यूशन	резолюция
रिज़ॉल्यूशन	резолюции
सिलवेस्टर	сильвестр
होबार्ट	хобарт
पतियों	мужья
पतियों	мужей
एंड्रिया	андреа
टाइमर	таймер
चाकलेट	шоколадный
चाकलेट	шоколадные
चाकलेट	шоколад
फ़ोनीशियाई	финикийский
हॉलिडे	холлидей
कैलेडोनिया	каледонии
ऑप्टिमस	оптимус
स्वादों	вкусами
कुल्ला	кула
फ़र्नीचर	мебель
ब्रेमेन	бремен
कैनवस	холст
गोथ	готы
मोड़ना	поворот
मोड़ना	очередь
ट्रांसफार्मर	трансформатор
फ़िट	подходит
सैंटोस	сантос
परफ्यूम	духи
बया	уивер
ईवा	евы
ईवा	ева
ईवा	эва
कैटी	кэти
कैटी	кейти
गलियां	улицах
गलियां	улицы
अल्ला	алла
सुलझाना	разгадать
सिंथिया	синтия
वेस्ले	уэсли
खिन्न	раздражает
स्मारकीय	монументальной
बेंचमार्क	ориентиры
बेंचमार्क	ориентиром
ब्राइटन	брайтон
अजवायन	тимьян
माल्डिनी	мальдини
सोल्स	солей
सोल्स	подошвы
स्टीवर्ड	стюард
दवाइयाँ	лекарства
दवाइयाँ	медикаменты
पीवीसी	пвх
पहचानकर्ता	идентификаторы
पहचानकर्ता	идентификатор
मोची	сапожник
इरक्वॉइ	ирокезов
फ्रीवे	шоссе
थोपने	навязать
ऐरे	массив
जाफ़र	джафар
मायर्स	майерс
शयनकक्ष	общежитие
शयनकक्ष	общежития
शयनकक्ष	спальни
शयनकक्ष	общежитии
शयनकक्ष	спальне
शयनकक्ष	спальня
कैमरामैन	оператор
वीरू	виру
ओली	олли
ओली	оли
परछाई	тени
परछाई	тень
पेक	пэк
पेक	пек
बेंटले	бентли
अस्तबल	конюшне
घूर्णदर्शी	гироскоп
लास्की	ласки
फेक	фальшивка
फेक	фальшивые
फेक	фальшивый
फेक	подделка
स्नैक्स	закуски
फर्नांडो	фернандо
फ़िनिश	финляндии
आजमाया	пробовал
आजमाया	пробовали
आजमाया	пытались
आजमाया	попытался
आजमाया	пытался
पेर	груша
प्रविष्टियां	записи
मोजर	мозер
अकाट्य	неопровержимые
डकार	дакар
डकार	дакаре
याओ	яо
ट्वीड	твид
सिंडी	синди
बकरियाँ	задела
भूसे	плевел
मामी	мами
शर्मिंदगी	стыдно
शर्मिंदगी	смущение
अधिकरणों	трибуналы
हैच	люк
अपर्याप्तता	неадекватность
गांजा	конопля
प्यासे	жажда
प्यासे	пить
गिल्डर	гульден
ट्राइटियम	трития
यांकी	янки
शरिया	шариат
शरिया	шариата
गर्मियाँ	летний
गर्मियाँ	саммер
गर्मियाँ	лето
नुकसानदेह	вредные
नुकसानदेह	вредных
जैनी	джанин
अदब	колени
बदसूरत	уродливый
ओनो	оно
पैराग्राफ	пункт
पैराग्राफ	параграф
पैराग्राफ	абзац
उत्साहजनक	поощрение
उत्साहजनक	поощрения
शानी	бельцы
डेन्यूब	дунай
आईटीएफ	мтф
लिज़	лиз
क्रिस्टियानो	криштиану
वेइस	вайс
कूलर	круче
मिडफील्डर	полузащитник
उड़ी	ури
हाब्स	хоббс
टैग्स	теги
टैग्स	метки
हादी	хади
मेसर	мазер
कैस	кас
हेपबर्न	хепберн
बिगड़े	испортил
गिलमोर	гилмор
चकमक	флинт
कोड़ा	кнут
फिलर	наполнение
लोम्बार्डी	ломбарди
सोमरस	сомерс
इरीडियम	иридий
अनुरोधित	запросили
अनुरोधित	запросила
अनुरोधित	просила
अनुरोधित	запросил
चमकीलापन	яркость
विचित्रता	странность
पेरे	пере
किर्गिस्तान	кыргызстан
तकलीफ़	злая
तकलीफ़	злой
तकलीफ़	зла
तकलीफ़	зло
ज्योतिर्मठ	аббат
क्रश	раздавить
कूटशब्द	пароль
शटर	затвора
एलएसडी	лсд
क्लासेस	занятия
क्लासेस	классы
पिको	пико
पारस्परिकता	взаимности
दिखाएँ	показ
दिखाएँ	показать
दिखाएँ	шоу
दिखाएँ	показывать
बैरकों	казармы
टोलेडो	толедо
फैनी	фанни
विग	парик
आईसीडी	мкб
भाजक	делитель
झुठलाया	отклонена
झुठलाया	отрицал
झुठलाया	отклонено
झुठलाया	отказано
बुरांस	рододендрон
जिराफ	жирафы
जिहादी	джихада
जिहादी	джихад
स्वैप	осп
सिल्विया	сильвия
ख़ीवा	хива
नाका	нака
नाका	кпп
खाट	ката
लकिन	но
नखलिस्तान	оазис
बीमे	страхование
बीमे	страхования
बीमे	страховка
आड़ू	персик
सेक्युलर	светского
जार्डन	иордании
चूल	петель
चूल	петля
नीनवा	ниневии
जेराल्ड	джеральд
जायके	вкусы
ऑक्टोपस	осьминог
कर्सर	курсор
कुर्बान	пожертвовал
अग्रेषित	направлены
येट्स	йейтс
होल्ट	холт
क्लियोपेट्रा	клеопатра
एंगस	ангус
जिमनास्टिक्स	гимнастика
पेट्रीसिया	патриция
स्नैपशॉट	снимок
गुब्बारा	шарик
गुब्बारा	шар
कैलिबर	калибр
हैमबर्गर	гамбургер
नवाबी	королевской
नवाबी	королевские
नवाबी	королевский
नवाबी	королевская
वोइट	войт
उद्देशिका	преамбуле
ओविएदो	овьедо
ढोर	скот
मुअम्मर	муаммара
बीजाणुओं	споры
चिल्लाया	крикнул
कारेलिया	карелия
मेसेंजर	посланника
मेसेंजर	посланник
बोनो	боно
मैश	пюре
पर्सपेक्टिव	перспективы
पर्सपेक्टिव	перспектива
अरदास	выше
कोया	кокон
बधियाकरण	кастрация
मक्की	кукурузу
मक्की	кукуруза
मक्की	кукурузы
ट्रिब्यूनल	трибунала
ट्रिब्यूनल	трибунал
वेरोनिका	вероника
संपूरक	дополнения
संपूरक	дополнить
संपूरक	дополнение
सूक्ष्मजैविक	микробов
आरेखण	рисование
आरेखण	рисунок
पसली	ребра
केलर	келлер
टाइमलाइन	сроки
टाइमलाइन	хронике
टाइमलाइन	хроника
टाइमलाइन	хроники
संलग्नक	вложения
संलग्नक	вложение
संलग्नक	привязанность
संलग्नक	вложений
शर्तो	условия
शर्तो	термины
प्रतिच्छेद	пересечение
हैनसेन	хансен
आगजनी	поджог
मॉड्यूलर	модульный
शेपर्ड	шеппард
बेतहाशा	су
लॉसन	лоусон
चिक	шик
अकरम	акрам
फ़ोटोग्राफ़ी	фотографии
फ़ोटोग्राफ़ी	фотография
तलवारबाजी	фехтование
सीसीटीवी	видеонаблюдения
हैम्पटन	хэмптон
सनातनी	православной
असंतोषजनक	неудовлетворительным
असंतोषजनक	неудовлетворительными
आर्नॉद	арно
खुशबूदार	ароматических
व्लादिवोस्तोक	владивосток
फंदा	ловушку
फंदा	ловушка
फंदा	ловушки
फंदा	стереть
विल्नुस	вильнюс
माइकेल्सन	михельсон
क्विज़	тест
त्रिपोली	триполи
इन्का	инков
ग्रीटिंग	приветствие
विएतनाम	вьетнам
एनएचएल	нхл
समतुल्यता	эквивалентные
समतुल्यता	эквиваленты
गुडमैन	гудман
परम्	верховный
परम्	высшая
परम्	высший
उल्लंघनों	нарушения
कालू	калу
ध्वनिकी	акустика
गुआम	гуам
रखवाले	аресты
परक्राम्य	оборотные
परक्राम्य	оборотных
परक्राम्य	оборотный
दहला	десять
दहला	десятка
घमंडी	высокомерный
इवो	иво
वुडस्टॉक	вудсток
लोपेज	лопес
गुच्छ	скопление
गुच्छ	кассетных
खंजर	кинжалы
तोड़फोड़	саботаж
शीशी	флакон
ओपेक	опек
सोटो	сото
जांघों	бедра
अधिनायकवादी	тоталитарного
चिपकाने	вставка
करात	карат
मैडेन	мэдден
पुलित्जर	пулитцеровская
आइंटहॉवन	эйндховен
शिकोकू	сикоку
क्रॉसरोड्स	перекрестке
बुखारेस्ट	бухаресте
मुगाबे	мугабе
एक्विनास	аквинский
एरोबिक	аэробных
स्लैब	плиты
बेनिटो	бенито
जुनूनी	одержимый
जुनूनी	обсессивно
बोलोग्ना	болонья
सर्वात्मवाद	анимизм
डीबीएस	гсм
थ्रेड	нити
थ्रेड	нитки
थ्रेड	дискуссии
थ्रेड	нить
खुर्शीद	хуршид
टाइटन्स	титаны
ल्यों	лион
ट्रैफ़िक	трафик
ट्रैफ़िक	пробки
ट्रैफ़िक	движения
ट्रैफ़िक	движение
शोरगुल	рэкет
शोरगुल	шум
लानत	черт
ताइवानी	тайваня
कायरता	трусость
उंगलियाँ	пальцы
चतुरता	обаяние
मंत्रि	министрами
मंत्रि	министров
मंत्रि	министры
टैंटेलम	тантал
अम्मान	аммане
फ़्रेडरिक	фредерик
यूनिफॉर्म	униформа
यूनिफॉर्म	форму
यूनिफॉर्म	форма
क्षीणन	ослабления
मेहरबानी	мерси
मेहरबानी	милосердия
मेहरबानी	милосердие
मेहरबानी	милость
रिटर	риттер
फिल्मोग्राफी	фильмография
नोम	ном
कैबरे	кабаре
कुकिंग	приготовление
गुनगुने	теплой
कैला	калгари
लोट	много
रिचलू	ришелье
पहुँचें	охват
काटो	укусить
काटो	укус
काटो	като
क्रिस्टलन	кристаллизации
सिम्स	симс
सत्तावादी	авторитарных
इंसाफ	правосудие
इंसाफ	справедливость
इंसाफ	правосудия
